Kryo,1,0.005,0.011,17
Json,1,0.051,0.025,44
Avro,1,0.029,0.013,235
MessagePack,1,0.01,0.012,11
ProtoStuff,1,0.002,0.001,0
Kryo,10,0.003,0.0,88
Json,10,0.003,0.0,418
Avro,10,0.003,0.001,343
MessagePack,10,0.002,0.001,110
ProtoStuff,10,0.001,0.001,0
Kryo,100,0.003,0.001,800
Json,100,0.004,0.001,4189
Avro,100,0.004,0.002,1415
MessagePack,100,0.004,0.0,1100
ProtoStuff,100,0.001,0.0,0
Kryo,1000,0.007,0.005,7947
Json,1000,0.008,0.012,41971
Avro,1000,0.01,0.006,12163
MessagePack,1000,0.006,0.005,11000
ProtoStuff,1000,0.001,0.001,0
Kryo,2000,0.005,0.004,15888
Json,2000,0.007,0.009,83978
Avro,2000,0.005,0.004,24104
MessagePack,2000,0.006,0.004,22000
ProtoStuff,2000,0.001,0.0,0
Kryo,5000,0.01,0.006,39716
Json,5000,0.008,0.012,210015
Avro,5000,0.008,0.005,59932
MessagePack,5000,0.005,0.003,55000
ProtoStuff,5000,0.001,0.001,0
Kryo,10000,0.007,0.004,79403
Json,10000,0.008,0.01,419890
Avro,10000,0.013,0.008,119639
MessagePack,10000,0.006,0.004,110000
ProtoStuff,10000,0.001,0.0,0
Kryo,100000,0.06,0.027,793731
Json,100000,0.052,0.094,4198165
Avro,100000,0.078,0.054,1194324
MessagePack,100000,0.055,0.019,1099996
ProtoStuff,100000,0.003,0.001,0
Kryo,200000,0.097,0.044,1587397
Json,200000,0.056,0.073,8396440
Avro,200000,0.066,0.037,2388389
MessagePack,200000,0.02,0.022,2199988
ProtoStuff,200000,0.001,0.0,0
Kryo,300000,0.102,0.025,2380923
Json,300000,0.059,0.11,12594354
Avro,300000,0.084,0.039,3582293
MessagePack,300000,0.03,0.03,3299980
ProtoStuff,300000,0.002,0.0,0
Kryo,400000,0.11,0.036,3174639
Json,400000,0.072,0.125,16792873
Avro,400000,0.106,0.053,4776408
MessagePack,400000,0.038,0.039,4399970
ProtoStuff,400000,0.002,0.0,0
Kryo,500000,0.179,0.045,3968399
Json,500000,0.087,0.154,20991534
Avro,500000,0.144,0.064,5970567
MessagePack,500000,0.048,0.049,5499966
ProtoStuff,500000,0.002,0.0,0
Kryo,600000,0.234,0.053,4762043
Json,600000,0.104,0.184,25189529
Avro,600000,0.156,0.076,7164589
MessagePack,600000,0.056,0.063,6599956
ProtoStuff,600000,0.002,0.001,0
Kryo,700000,0.232,0.061,5555716
Json,700000,0.135,0.244,29387540
Avro,700000,0.22,0.091,8358661
MessagePack,700000,0.073,0.07,7699954
ProtoStuff,700000,0.001,0.001,0
Kryo,800000,0.269,0.071,6349422
Json,800000,0.139,0.254,33585656
Avro,800000,0.206,0.102,9552766
MessagePack,800000,0.076,0.081,8799950
ProtoStuff,800000,0.002,0.0,0
Kryo,900000,0.39,0.079,7143045
Json,900000,0.152,0.281,37783767
Avro,900000,0.252,0.114,10746767
MessagePack,900000,0.086,0.092,9899946
ProtoStuff,900000,0.003,0.0,0
Kryo,1000000,0.421,0.089,7936624
Json,1000000,0.177,0.322,41982093
Avro,1000000,0.294,0.16,11940745
MessagePack,1000000,0.097,0.104,10999938
ProtoStuff,1000000,0.002,0.0,0
Kryo,2000000,1.087,0.185,15873914
Json,2000000,0.399,0.68,83965993
